r_def,cve_ent,con,upm,n_pro_viv,v_sel,n_hog,h_mud,n_ren,c_res,sex,eda,n_hij,e_con,ur,zona,pos_ocu,seg_soc,rama_est1,ambito2,tue1,pre_asa,niv_ins,anios_esc,hrsocup,ingocup,imssissste,emp_ppal,p6c,p6d
0,9,40523,906842,32,54,1,0,1,1,1,54, ,5,1,2,3,2,3,2,3,0,2,6,56,15050,4,1, ,6
0,9,40524,907057,17,54,1,0,4,1,2,23,0,6,1,2,3,2,3,2,3,0,4,12,20,4300,4,1, ,6
0,9,40530,909233,9,51,1,0,1,1,1,28, ,1,1,2,1,2,3,0,2,1,4,15,44,9000,4,1, ,6
0,9,40530,909233,9,51,1,0,4,1,2,23,0,6,1,2,1,2,3,0,2,1,4,13,44,8400,4,1, ,6
0,9,40534,910844,107,54,1,1,2,1,2,52,4,1,1,2,1,2,3,2,3,1,3,9,84,9030,4,1, ,6
0,9,40537,913284,198,51,1,0,6,1,1,39, ,4,1,2,1,2,2,2,3,2,3,9,55,7740,4,1, ,6
0,9,40551,901901,22,51,1,0,2,1,2,34,2,1,1,2,1,1,3,7,2,2,4,16,48,20000,2,2, ,3
0,9,40553,902861,73,55,1,0,2,1,2,48,1,2,1,2,1,1,3,4,1,1,3,9,72,5000,1,2, ,1
0,9,40553,902861,73,55,1,0,3,1,1,22, ,6,1,2,1,1,2,4,1,1,4,16,40,8600,1,2, ,1
0,9,40555,903625,30,54,1,0,1,1,1,54, ,5,1,2,1,1,3,6,1,1,4,12,46,12000,1,2, ,1
0,9,40564,906561,82,55,1,0,1,1,1,52, ,1,1,2,1,2,3,0,1,2,4,13,98,21500,4,1, ,6
0,9,40586,915851,47,52,1,0,2,1,2,62,3,5,1,2,3,2,3,3,3,0,3,11,56,4300,4,1, ,6
0,9,40589,918004,10,51,1,0,2,1,2,27,0,6,1,2,1,1,3,4,2,1,4,17,48,11600,1,2, ,1
0,9,40598,919203,107,54,1,1,2,1,1,26, ,6,1,2,1,1,3,0,1,1,4,18,36,24000,1,2, ,1
0,9,40599,915338,9,51,1,0,2,1,2,56,2,5,1,2,1,1,3,7,2,1,4,16,50,24000,2,2, ,3
0,9,40622,916682,98,54,1,0,1,1,1,22, ,6,1,2,2,2,3,3,3,0,3,9,60,18000,4,1, ,6
0,9,40632,919587,61,53,1,0,1,1,2,66,1,4,1,2,1,2,3,3,1,1,4,12,45,7740,4,1, ,6
0,9,40634,920784,74,76,1,0,2,1,2,24,0,6,1,2,2,2,3,2,3,0,3,11,25,8000,4,1, ,6
0,9,40637,921885,49,53,1,0,1,1,2,63,1,6,1,2,1,1,3,4,1,1,4,16,40,40000,1,2, ,1
0,15,40003,1522200,175,2,1,0,4,1,2,66,3,4,1,2,3,2,3,2,3,0,2,6,36,7740,4,1, ,6
0,15,40004,1526629,19,1,1,0,1,1,1,52, ,1,1,2,1,1,2,4,1,1,3,9,48,12900,1,2, ,1
0,15,40017,1510756,71,3,1,0,1,1,1,32, ,1,1,2,1,2,3,2,3,2,3,9,35,15050,4,1, ,6
0,15,40018,1512771,16,1,1,0,2,1,2,40,2,5,1,2,1,1,3,5,2,1,4,17,40,16000,2,2, ,4
0,15,40021,1516842,42,5,1,0,2,1,2,23,1,1,1,2,3,2,3,2,3,0,2,6,56,7525,4,1, ,6
0,15,40022,1517890,89,4,1,0,2,1,2,54,3,6,1,2,1,2,2,2,3,2,3,12,20,2150,4,1, ,6
0,15,40022,1517890,89,4,1,0,3,1,2,53,1,6,1,2,3,2,3,2,3,0,4,16,35,4515,4,1, ,6
0,15,40024,1519395,87,5,1,0,1,1,1,51, ,5,1,2,2,2,2,2,3,0,3,9,32,8600,4,1, ,6
0,15,40036,1523735,86,4,1,0,1,1,2,31,0,1,1,2,1,1,3,4,1,1,4,12,40,10000,1,2, ,1
0,15,40038,1500150,50,1,1,0,3,1,1,29, ,6,1,2,1,2,3,3,1,2,4,16,35,6450,4,1, ,6
0,15,40039,1522463,25,2,1,0,3,1,2,38,0,6,1,2,1,1,2,3,1,1,4,12,32,8000,1,2, ,1
0,15,40049,1505533,212,5,1,0,1,1,2,52,3,5,1,2,3,2,3,2,3,0,2,6,30,4000,4,1, ,6
0,15,40059,1534691,4,1,1,0,2,1,1,24, ,1,1,2,1,2,3,2,3,1,3,9,98,18060,4,1, ,6
0,15,40067,1504156,10,1,1,0,1,1,1,38, ,5,1,2,1,1,3,5,1,1,4,12,48,10000,1,2, ,1
0,15,40080,1505146,185,1,1,0,1,1,2,50,1,6,1,2,3,2,3,2,3,0,3,9,30,4300,4,1, ,6
0,15,40082,1502500,5,2,1,0,7,1,1,50, ,6,1,2,1,2,3,4,3,2,4,14,46,12900,4,1, ,6
0,15,40083,1503699,149,4,1,0,2,1,2,33,3,1,1,2,1,2,3,4,1,2,3,9,24,4300,4,1, ,6
0,15,40084,1505538,32,2,1,0,4,1,1,30, ,5,1,2,3,2,2,2,3,0,4,12,48,8600,4,1, ,6
0,15,40086,1506753,39,2,1,0,1,1,1,53, ,2,1,2,3,2,3,3,3,0,3,9,18,12000,4,1, ,6
0,15,40086,1506753,90,4,1,0,3,1,1,23, ,6,1,2,1,1,3,4,2,1,4,16,35,9600,1,2, ,1
0,15,40086,1506753,114,5,1,0,1,1,2,46,3,2,1,2,1,1,3,3,1,1,4,14,48,9600,1,2, ,1
0,15,40087,1506957,80,4,1,0,1,1,1,48, ,1,1,2,1,2,3,2,3,1,3,10,50,11180,4,1, ,6
0,15,40090,1508624,36,2,1,0,2,1,2,55,0,6,1,2,1,2,3,8,3,2,3,9,30,6020,4,1, ,6
0,15,40091,1509421,57,2,1,0,1,1,1,69, ,2,1,2,3,2,2,2,3,0,4,16,39,6450,4,1, ,6
0,15,40116,1522423,77,2,1,0,1,1,1,60, ,1,1,2,1,2,3,4,3,1,1,4,54,7740,4,1, ,6
0,15,40120,1501433,72,3,1,0,3,1,1,47, ,2,1,2,3,2,3,2,3,0,4,14,48,10320,4,1, ,6
0,15,40120,1501433,97,4,1,0,1,1,1,57, ,1,1,2,1,2,2,2,3,2,2,6,55,12900,4,1, ,6
0,15,40120,1501433,97,4,1,0,3,1,1,29, ,6,1,2,1,2,2,2,3,2,1,5,55,14190,4,1, ,6
0,15,40121,1503386,54,3,1,0,2,1,2,31,1,1,1,2,3,2,3,3,3,0,4,19,11,15050,4,1, ,6
0,15,40136,1535302,111,1,1,0,3,1,1,22, ,5,1,2,1,1,2,5,1,1,4,17,54,12000,1,2, ,1
0,15,40136,1535302,1,3,1,0,2,1,2,63,3,1,1,2,3,2,3,2,3,0,2,6,30,6000,4,1, ,6
0,15,40138,1521933,12,4,1,0,1,1,1,43, ,2,1,2,1,1,2,5,1,1,4,14,56,24000,1,2, ,1
0,15,40147,1517186,9,1,1,0,3,1,1,21, ,6,1,2,1,1,3,4,1,1,4,14,32,14000,1,2, ,1
0,15,40148,1524243,102,2,1,0,2,1,2,42,0,5,1,2,3,2,3,3,1,0,4,17,40,13000,4,2, ,6
0,15,40153,1526705,146,4,1,0,2,1,1,51, ,5,1,2,1,1,2,4,1,1,4,12,29,8600,1,2, ,1
0,15,40154,1506237,149,2,1,0,2,1,1,60, ,5,1,2,1,1,3,6,2,1,2,6,72,14000,1,2, ,1
0,15,40156,1522201,16,1,1,0,1,1,1,51, ,5,1,2,3,2,3,2,3,0,4,14,68,9460,4,1, ,6
0,15,40156,1522201,104,5,1,0,2,1,2,50,3,5,1,2,1,2,3,8,3,2,1,3,24,3870,4,1, ,6
0,15,40157,1538180,7,1,1,0,2,1,2,37,3,1,1,2,1,2,3,2,3,2,3,9,10,1720,4,1, ,6
0,15,40157,1538180,7,1,1,0,7,1,1,19, ,6,1,2,1,2,2,2,3,2,4,12,12,2580,4,1, ,6
0,15,40157,1538180,138,5,1,0,1,1,1,64, ,5,1,2,1,2,2,2,3,2,1,0,50,10750,4,1, ,6
0,15,40159,1501823,73,3,1,0,4,1,1,47, ,5,1,2,1,1,3,5,1,1,4,12,40,12000,1,2, ,1
0,15,40162,1506333,140,4,1,0,1,1,2,48,2,2,1,2,1,2,3,8,3,2,2,6,17,3440,4,1, ,6
0,15,40164,1510779,131,3,1,0,2,1,1,19, ,6,1,2,1,1,3,0,1,1,4,12,48,8000,1,2, ,1
0,15,40185,1537131,133,5,1,0,1,1,1,65, ,5,1,2,2,2,3,3,3,0,2,6,50,20640,4,1, ,6
0,15,40187,1513060,133,5,1,0,1,1,1,48, ,5,1,2,1,1,2,5,2,1,2,6,45,20000,2,2, ,4
0,15,40189,1523878,18,2,1,0,4,1,1,27, ,1,1,2,1,2,2,3,1,2,3,9,40,8600,4,1, ,6
0,15,40189,1523878,40,3,1,0,1,1,1,30, ,6,1,2,1,1,3,5,1,1,4,16,32,16000,1,2, ,1
0,15,40195,1533670,50,1,1,0,2,1,2,52,0,6,1,2,1,2,3,8,3,2,2,6,40,8600,4,1, ,6
0,15,40200,1504552,106,5,1,0,1,1,1,61, ,5,1,2,2,2,3,3,1,0,4,16,50,20000,4,2, ,6
0,15,40202,1508671,25,2,1,0,3,3,1,52, ,6,1,2,1,1,3,7,2,1,4,12,28,8800,2,2, ,3
0,15,40205,1512787,82,3,1,0,3,1,2,29,0,6,1,2,1,1,3,4,1,1,4,16,54,7200,1,2, ,1
0,15,40206,1519306,81,3,1,0,2,1,2,30,0,5,1,2,1,1,3,4,1,1,4,16,40,16000,1,2, ,1
0,15,40209,1528317,82,4,1,0,2,1,1,26, ,6,1,2,1,1,3,4,1,1,4,16,48,12000,1,2, ,1
0,15,40214,1522349,103,3,1,0,4,1,1,23, ,6,1,2,1,1,2,4,1,1,2,6,48,8600,1,2, ,1
0,15,40226,1536767,5,1,1,0,9,1,2,30,1,5,1,2,3,2,3,2,3,0,3,12,56,9030,4,1, ,6
0,15,40233,1502132,107,52,1,0,3,1,2,29,1,5,1,2,1,1,3,4,1,1,4,16,40,12900,1,2, ,1
0,15,40238,1506981,62,54,1,0,2,1,1,21, ,6,1,2,1,2,3,4,1,1,3,9,50,6450,4,1, ,6
0,15,40243,1510743,4,51,1,0,2,1,1,25, ,6,1,2,1,1,3,0,1,1,4,17,35,12000,1,2, ,1
0,15,40256,1535194,72,55,1,0,1,1,1,50, ,5,1,2,1,1,3,4,1,1,4,12,30,12000,1,2, ,1
0,15,40260,1505715,123,55,1,0,1,1,1,73, ,5,1,2,2,2,3,4,3,0,2,6,18,17200,4,1, ,6
0,15,40266,1513820,19,55,1,0,5,1,2,28,1,2,1,2,1,1,3,6,1,1,4,16,48,8800,1,2, ,1
0,15,40268,1526661,43,55,1,0,6,1,1,26, ,6,1,2,1,1,3,4,1,1,4,12,45,5000,1,2, ,1
0,15,40274,1504313,89,55,1,0,3,1,1,29, ,6,1,2,1,1,2,4,1,1,3,9,47,6773,1,2, ,1
0,15,40280,1516220,17,53,1,0,1,1,1,65, ,5,1,2,3,2,2,2,3,0,4,12,51,22000,4,1, ,6
0,15,40282,1523658,54,51,1,0,2,1,2,37,2,5,1,2,1,2,2,2,3,2,4,12,39,5160,4,1, ,6
0,15,40286,1534856,59,54,1,0,3,1,2,36,2,1,1,2,3,2,3,2,3,0,4,12,12,3440,4,1, ,6
0,15,40306,1526833,150,54,1,0,2,1,1,22, ,6,1,2,1,2,3,3,3,2,3,9,24,5160,4,1, ,6
0,15,40309,1501628,54,55,1,0,2,1,2,41,1,6,1,2,1,1,3,4,1,1,4,16,40,20000,1,2, ,1
0,15,40312,1506200,141,52,1,0,2,1,2,46,3,5,1,2,1,2,3,8,3,2,3,9,16,4300,4,1, ,6
0,15,40316,1507639,100,55,1,0,1,1,1,39, ,1,1,2,1,1,3,5,2,1,4,12,54,8600,1,2, ,1
0,15,40320,1511735,34,77,1,0,2,1,2,51,1,5,1,2,1,2,3,8,3,2,3,9,24,5805,4,1, ,6
0,15,40321,1517590,113,79,1,0,1,1,1,64, ,5,1,2,3,2,3,3,3,0,2,6,72,12900,4,1, ,6
0,15,40321,1517590,113,79,1,0,2,1,2,63,3,5,1,2,3,2,3,3,3,0,2,6,72,6450,4,1, ,6
0,15,40323,1516534,41,53,1,0,1,1,1,41, ,1,1,2,3,2,3,2,3,0,3,9,70,12900,4,1, ,6
0,15,40326,1519004,65,51,1,0,2,1,1,27, ,6,1,2,1,2,3,4,3,2,3,9,45,7740,4,1, ,6
0,15,40328,1523531,74,53,1,0,1,1,2,48,2,6,1,2,1,1,3,4,2,1,3,9,32,16000,2,2, ,3
0,15,40332,1531486,90,52,1,0,4,1,1,34, ,6,1,2,1,1,3,5,1,1,4,12,48,7740,1,2, ,1
0,15,40335,1536308,58,52,1,0,1,1,2,68,5,2,1,2,3,2,3,3,3,0,2,6,52,6450,4,1, ,6
0,15,40336,1504110,22,52,1,0,1,1,1,45, ,3,1,2,2,2,3,2,3,0,4,12,40,18000,4,1, ,6
